source_id,raison_sociale,pays_declare_brut,pays_declare_normalise,numero_tva_brut,numero_tva_nettoye,structure_reason,human_review_reason
14,Alpine Logistics Sp. z o.o.,SE,SE,SE1861093621016,SE1861093621016,format_invalide,Numero nettoye non conforme au format attendu pour le pays
17,Granit Logistics SAS,GB,GB,GB0749640348,GB0749640348,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
26,Verso Foods A/S,PT,PT,-,,numero_tva_absent,Numero TVA absent
35,Lusitania Transports SARL,ZZ,ZZ,ZZ23140153,ZZ23140153,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
37,Lumen Distribution A/S,FI,FI,FI4715363,FI4715363,format_invalide,Numero nettoye non conforme au format attendu pour le pays
39,Global Distribution Sp. z o.o.,LU,LU,LU6918091,LU6918091,format_invalide,Numero nettoye non conforme au format attendu pour le pays
40,Prima Distribution GmbH,BE,BE,BE124376636,BE124376636,format_invalide,Numero nettoye non conforme au format attendu pour le pays
41,Orion Technologies SA,BE,BE,BE02690132662,BE02690132662,format_invalide,Numero nettoye non conforme au format attendu pour le pays
57,Batavia Materials SARL,NL,NL,NLH28387650B63,NLH28387650B63,format_invalide,Numero nettoye non conforme au format attendu pour le pays
62,Lusitania Distribution GmbH,PL,PL,PL97668891080,PL97668891080,format_invalide,Numero nettoye non conforme au format attendu pour le pays
65,Hanse Transports SAS,BE,BE,BE188076813,BE188076813,format_invalide,Numero nettoye non conforme au format attendu pour le pays
68,Vela Industries Sp. z o.o.,FI,FI,FI17O38139,FI17O38139,format_invalide,Numero nettoye non conforme au format attendu pour le pays
69,Batavia Technologies GmbH,GB,GB,GB17652291,GB17652291,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
71,Kappa Industries SARL,PT,PT,PT8G7770771,PT8G7770771,format_invalide,Numero nettoye non conforme au format attendu pour le pays
80,Azur Technologies SA,UK,UK,UK227979060,UK227979060,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
81,Vela Consulting SA,IT,IT,,,numero_tva_absent,Numero TVA absent
83,Global Services GmbH,BE,BE,BE183858570,BE183858570,format_invalide,Numero nettoye non conforme au format attendu pour le pays
92,Ardent Industries Lda,FR,FR,,,numero_tva_absent,Numero TVA absent
111,Delta Distribution AB,NL,NL,NL1587699M6B82,NL1587699M6B82,format_invalide,Numero nettoye non conforme au format attendu pour le pays
120,Prima Technologies AB,FR,FR,58560322811,58560322811,format_invalide,Numero nettoye non conforme au format attendu pour le pays
127,Global Industries Sp. z o.o.,PT,PT,PT87482735J,PT87482735J,format_invalide,Numero nettoye non conforme au format attendu pour le pays
130,Metallo Services SpA,FR,FR,FR568210454899,FR568210454899,format_invalide,Numero nettoye non conforme au format attendu pour le pays
134,Ardent Logistics SpA,DK,DK,DK1521898,DK1521898,format_invalide,Numero nettoye non conforme au format attendu pour le pays
135,Kappa Logistics Lda,NL,NL,396904956B68,396904956B68,format_invalide,Numero nettoye non conforme au format attendu pour le pays
136,Alpine Materials GmbH,DK,DK,DK5962G374,DK5962G374,format_invalide,Numero nettoye non conforme au format attendu pour le pays
139,Hanse Materials Lda,DK,DK,DK291446999,DK291446999,format_invalide,Numero nettoye non conforme au format attendu pour le pays
146,Nord Materials Oy,UK,UK,UK190500864B18,UK190500864B18,pays_hors_perimetre_vies,Pays present dans le fichier mais hors Union europeenne
152,Delta Trading Sp. z o.o.,ZZ,ZZ,ZZ06520766,ZZ06520766,pays_hors_referentiel_ue,Code pays absent du referentiel UE local
155,Vertex Consulting Lda,SE,SE,SE99296861790,SE99296861790,format_invalide,Numero nettoye non conforme au format attendu pour le pays
163,Solaris Trading AB,IT,IT,38486825359,38486825359,format_invalide,Numero nettoye non conforme au format attendu pour le pays
167,Azur Consulting AB,DK,DK,DK87G17730,DK87G17730,format_invalide,Numero nettoye non conforme au format attendu pour le pays
