source_id,raison_sociale,pays_declare_brut,pays_declare_normalise,numero_tva_brut,numero_tva_nettoye,structure_verdict,structure_reason,final_verdict,final_origin,checked_at,freshness_days,needs_human_review,needs_vies_verification,review_reason
1,Nord Technologies GmbH,DK,DK,DK73224645,DK73224645,valid,ok_structure,invalide,api,2026-09-09 14:37:06.802770+00:00,0,False,False,
2,Solaris Technologies SARL,PT,PT,PT787327239,PT787327239,valid,ok_structure,invalide,api,2026-09-09 14:37:16.131019+00:00,0,False,False,
3,Verso Consulting NV,LU,LU,LU71043234,LU71043234,valid,ok_structure,invalide,campaign,2026-09-09 14:42:46.621258+00:00,0,False,False,
4,Lumen Distribution Sp. z o.o.,SE,SE,SE.751298146001,SE751298146001,valid,ok_structure,invalide,campaign,2026-09-09 14:42:47.446898+00:00,0,False,False,
5,Textil Services Oy,NL,NL,NL505862176B88,NL505862176B88,valid,ok_structure,invalide,campaign,2026-09-09 14:42:47.554952+00:00,0,False,False,
6,Kappa Logistics AB,DK,DK,DK61530843,DK61530843,valid,ok_structure,indetermine,pending_vies,,,,True,
7,Textil Services Oy,NL,NL,  NL505862176B88 ,NL505862176B88,valid,ok_structure,invalide,campaign,2026-09-09 14:42:47.554952+00:00,0,False,False,
8,Vertex Industries SARL,SE,SE,SE.314125231601,SE314125231601,valid,ok_structure,indetermine,pending_vies,,,,True,
9,Verso Services Oy,DK,DK,DK48646344,DK48646344,valid,ok_structure,indetermine,pending_vies,,,,True,
10,Nord Transports NV,BE,BE,BE1997422119,BE1997422119,valid,ok_structure,indetermine,pending_vies,,,,True,
11,Hanse Distribution SAS,FI,FI,FI.84564443,FI84564443,valid,ok_structure,indetermine,pending_vies,,,,True,
12,Lusitania Trading Sp. z o.o.,NL,NL,NL767957817B57,NL767957817B57,valid,ok_structure,indetermine,pending_vies,,,,True,
13,Alpine Technologies SAS,SE,SE,SE-353056663101,SE353056663101,valid,ok_structure,indetermine,pending_vies,,,,True,
14,Alpine Logistics Sp. z o.o.,SE,SE,SE1861093621016,SE1861093621016,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
15,Baltic Industries SAS,PT,PT,PT901258090,PT901258090,valid,ok_structure,indetermine,pending_vies,,,,True,
16,Baltic Consulting AB,NL,NL,NL962988030B37,NL962988030B37,valid,ok_structure,invalide,api,2026-09-09 14:37:27.454534+00:00,0,False,False,
17,Granit Logistics SAS,GB,GB,GB0749640348,GB0749640348,review,pays_hors_perimetre_vies,indetermine,structural_reject,,,True,False,Pays présent dans le fichier mais hors Union européenne
18,Orion Foods SARL,BE,BE,BE1628475293,BE1628475293,valid,ok_structure,indetermine,pending_vies,,,,True,
19,Metallo Services Oy,BE,BE,BE0605238824,BE0605238824,valid,ok_structure,indetermine,pending_vies,,,,True,
20,Metallo Consulting SARL,FR,FR,FR63432337650,FR63432337650,valid,ok_structure,indetermine,pending_vies,,,,True,
21,Fabrica Transports A/S,LU,LU,LU45829332,LU45829332,valid,ok_structure,indetermine,pending_vies,,,,True,
22,Textil Technologies BV,PT,PT,PT615054116,PT615054116,valid,ok_structure,indetermine,pending_vies,,,,True,
23,Solaris Industries GmbH,FR,FR,  FR58658124710 ,FR58658124710,valid,ok_structure,indetermine,pending_vies,,,,True,
24,Nord Technologies GmbH,DK,DK,DK73224645,DK73224645,valid,ok_structure,invalide,api,2026-09-09 14:37:06.802770+00:00,0,False,False,
25,Metallo Distribution BV,DK,DK,DK43075659,DK43075659,valid,ok_structure,indetermine,pending_vies,,,,True,
26,Verso Foods A/S,PT,PT,-,,review,numero_tva_absent,indetermine,structural_reject,,,True,False,Numéro TVA absent
27,Lumen Distribution NV,BE,BE,BE0311256964,BE0311256964,valid,ok_structure,indetermine,pending_vies,,,,True,
28,Meridian Industries Lda,FR,FR,FR14760307373,FR14760307373,valid,ok_structure,indetermine,pending_vies,,,,True,
29,Corvus Logistics SARL,SE,SE,SE538701827701,SE538701827701,valid,ok_structure,indetermine,pending_vies,,,,True,
30,Meridian Materials A/S,FR,FR,FR84248701951,FR84248701951,valid,ok_structure,indetermine,pending_vies,,,,True,
31,Metallo Transports Oy,PT,PT,  PT682102423 ,PT682102423,valid,ok_structure,indetermine,pending_vies,,,,True,
32,Batavia Services SARL,FI,FI,FI77720866,FI77720866,valid,ok_structure,indetermine,pending_vies,,,,True,
33,Ardent Distribution Lda,BE,BE,BE0232035282,BE0232035282,valid,ok_structure,indetermine,pending_vies,,,,True,
34,Lusitania Logistics NV,DK,DK,DK-72344081,DK72344081,valid,ok_structure,indetermine,pending_vies,,,,True,
35,Lusitania Transports SARL,ZZ,ZZ,ZZ23140153,ZZ23140153,review,pays_hors_referentiel_ue,indetermine,structural_reject,,,True,False,Code pays absent du référentiel UE local
36,Atlantic Technologies Lda,PL,PL,PL5047493384,PL5047493384,valid,ok_structure,indetermine,pending_vies,,,,True,
37,Lumen Distribution A/S,FI,FI,FI4715363,FI4715363,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
38,Granit Trading AB,FI,FI,  FI26606369 ,FI26606369,valid,ok_structure,indetermine,pending_vies,,,,True,
39,Global Distribution Sp. z o.o.,LU,LU,LU6918091,LU6918091,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
40,Prima Distribution GmbH,BE,BE,BE124376636,BE124376636,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
41,Orion Technologies SA,BE,BE,BE02690132662,BE02690132662,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
42,Baltic Technologies Lda,PL,PL,PL4321225090,PL4321225090,valid,ok_structure,indetermine,pending_vies,,,,True,
43,Solaris Trading SAS,SE,SE,SE119195863401,SE119195863401,valid,ok_structure,indetermine,pending_vies,,,,True,
44,Papyrus Distribution Sp. z o.o.,BE,BE,BE1290480179,BE1290480179,valid,ok_structure,indetermine,pending_vies,,,,True,
45,Global Transports SA,PT,PT,PT544274741,PT544274741,valid,ok_structure,indetermine,pending_vies,,,,True,
46,Alpine Consulting SpA,SE,SE,SE428761352801,SE428761352801,valid,ok_structure,indetermine,pending_vies,,,,True,
47,Lusitania Services Sp. z o.o.,SE,SE,  SE011690000201 ,SE011690000201,valid,ok_structure,indetermine,pending_vies,,,,True,
48,Granit Materials BV,NL,NL,  NL413400931B49 ,NL413400931B49,valid,ok_structure,indetermine,pending_vies,,,,True,
49,Fabrica Industries A/S,PL,PL,PL 7963 612947,PL7963612947,valid,ok_structure,indetermine,pending_vies,,,,True,
50,Hanse Consulting AB,NL,NL,NL.966200093B26,NL966200093B26,valid,ok_structure,indetermine,pending_vies,,,,True,
51,Ardent Materials SA,SE,SE,SE593651753601,SE593651753601,valid,ok_structure,indetermine,pending_vies,,,,True,
52,Cobalt Logistics AB,FR,FR,  FR82738452940 ,FR82738452940,valid,ok_structure,indetermine,pending_vies,,,,True,
53,Baltic Technologies BV,LU,LU,LU66484248,LU66484248,valid,ok_structure,invalide,api,2026-09-09 14:37:53.228878+00:00,0,False,False,
54,Fabrica Foods GmbH,PL,PL,PL-4372432809,PL4372432809,valid,ok_structure,indetermine,pending_vies,,,,True,
55,Verso Foods Lda,LU,LU,LU84259936,LU84259936,valid,ok_structure,indetermine,pending_vies,,,,True,
56,Fabrica Transports SAS,BE,BE,BE0576561070,BE0576561070,valid,ok_structure,indetermine,pending_vies,,,,True,
57,Batavia Materials SARL,NL,NL,NLH28387650B63,NLH28387650B63,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
58,Metallo Industries NV,FR,FR,FR.76418167474,FR76418167474,valid,ok_structure,indetermine,pending_vies,,,,True,
59,Lusitania Transports NV,FR,FR,FR02831068190,FR02831068190,valid,ok_structure,indetermine,pending_vies,,,,True,
60,Baltic Trading GmbH,DK,DK,DK53927279,DK53927279,valid,ok_structure,indetermine,pending_vies,,,,True,
61,Prima Industries AB,PT,PT,PT710932251,PT710932251,valid,ok_structure,indetermine,pending_vies,,,,True,
62,Lusitania Distribution GmbH,PL,PL,PL97668891080,PL97668891080,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
63,Lumen Transports BV,PL,PL,PL5102708610,PL5102708610,valid,ok_structure,indetermine,pending_vies,,,,True,
64,Ardent Foods Oy,DK,DK,  DK91970813 ,DK91970813,valid,ok_structure,indetermine,pending_vies,,,,True,
65,Hanse Transports SAS,BE,BE,BE188076813,BE188076813,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
66,Atlantic Transports A/S,NL,NL,NL150819395B54,NL150819395B54,valid,ok_structure,indetermine,pending_vies,,,,True,
67,Vela Distribution SpA,PT,PT,PT763047058,PT763047058,valid,ok_structure,indetermine,pending_vies,,,,True,
68,Vela Industries Sp. z o.o.,FI,FI,FI17O38139,FI17O38139,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
69,Batavia Technologies GmbH,GB,GB,GB17652291,GB17652291,review,pays_hors_perimetre_vies,indetermine,structural_reject,,,True,False,Pays présent dans le fichier mais hors Union européenne
70,Vela Materials SpA,NL,NL,NL 7854 27788B39,NL785427788B39,valid,ok_structure,indetermine,pending_vies,,,,True,
71,Kappa Industries SARL,PT,PT,PT8G7770771,PT8G7770771,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
72,Delta Logistics GmbH,DK,DK,DK40573564,DK40573564,valid,ok_structure,indetermine,pending_vies,,,,True,
73,Global Industries NV,DK,DK,DK 0213 2524,DK02132524,valid,ok_structure,indetermine,pending_vies,,,,True,
74,Fabrica Services SpA,FI,FI,FI99607012,FI99607012,valid,ok_structure,indetermine,pending_vies,,,,True,
75,Papyrus Logistics A/S,IT,IT,IT97133603924,IT97133603924,valid,ok_structure,indetermine,pending_vies,,,,True,
76,Orion Foods SpA,PT,PT,PT306264951,PT306264951,valid,ok_structure,indetermine,pending_vies,,,,True,
77,Vertex Distribution SARL,SE,SE,SE-976875634901,SE976875634901,valid,ok_structure,indetermine,pending_vies,,,,True,
78,Baltic Foods Lda,DK,DK,  DK01911376 ,DK01911376,valid,ok_structure,indetermine,pending_vies,,,,True,
79,Metallo Transports AB,BE,BE,BE1541337423,BE1541337423,valid,ok_structure,indetermine,pending_vies,,,,True,
80,Azur Technologies SA,UK,UK,UK227979060,UK227979060,review,pays_hors_perimetre_vies,indetermine,structural_reject,,,True,False,Pays présent dans le fichier mais hors Union européenne
81,Vela Consulting SA,IT,IT,,,review,numero_tva_absent,indetermine,structural_reject,,,True,False,Numéro TVA absent
82,Textil Transports SA,FI,FI,FI38141462,FI38141462,valid,ok_structure,indetermine,pending_vies,,,,True,
83,Global Services GmbH,BE,BE,BE183858570,BE183858570,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
84,Orion Materials SAS,BE,BE,BE1605747896,BE1605747896,valid,ok_structure,indetermine,pending_vies,,,,True,
85,Cobalt Trading Sp. z o.o.,PL,PL,PL9512013884,PL9512013884,valid,ok_structure,indetermine,pending_vies,,,,True,
86,Atlantic Services Sp. z o.o.,NL,NL,NL 2552 60155B67,NL255260155B67,valid,ok_structure,indetermine,pending_vies,,,,True,
87,Granit Industries NV,PT,PT,PT440557399,PT440557399,valid,ok_structure,indetermine,pending_vies,,,,True,
88,Orion Transports AB,SE,SE,SE493462906001,SE493462906001,valid,ok_structure,indetermine,pending_vies,,,,True,
89,Granit Materials AB,PL,PL,PL1609015779,PL1609015779,valid,ok_structure,indetermine,pending_vies,,,,True,
90,Orion Technologies NV,BE,BE,BE0359339468,BE0359339468,valid,ok_structure,indetermine,pending_vies,,,,True,
91,Atlantic Trading SpA,PT,PT,PT293013730,PT293013730,valid,ok_structure,indetermine,pending_vies,,,,True,
92,Ardent Industries Lda,FR,FR,,,review,numero_tva_absent,indetermine,structural_reject,,,True,False,Numéro TVA absent
93,Hanse Consulting Lda,IT,IT,IT62989143151,IT62989143151,valid,ok_structure,indetermine,pending_vies,,,,True,
94,Metallo Trading Oy,DK,DK,DK.88753801,DK88753801,valid,ok_structure,indetermine,pending_vies,,,,True,
95,Global Trading SpA,SE,SE,SE324822512401,SE324822512401,valid,ok_structure,indetermine,pending_vies,,,,True,
96,Vela Trading AB,IT,IT,IT60495506945,IT60495506945,valid,ok_structure,indetermine,pending_vies,,,,True,
97,Lumen Distribution SA,DK,DK,  DK39736861 ,DK39736861,valid,ok_structure,indetermine,pending_vies,,,,True,
98,Metallo Trading AB,FI,FI,FI70957529,FI70957529,valid,ok_structure,indetermine,pending_vies,,,,True,
99,Fabrica Services SA,PT,PT,PT116096764,PT116096764,valid,ok_structure,indetermine,pending_vies,,,,True,
100,Baltic Industries BV,LU,LU,LU75426276,LU75426276,valid,ok_structure,indetermine,pending_vies,,,,True,
101,SA DANONE,FR,FR,FR27552032534,FR27552032534,valid,ok_structure,indetermine,pending_vies,,,,True,
102,Granit Industries NV,IT,IT,IT 5368 0520532,IT53680520532,valid,ok_structure,indetermine,pending_vies,,,,True,
103,Cobalt Logistics SpA,LU,LU,LU83327153,LU83327153,valid,ok_structure,indetermine,pending_vies,,,,True,
104,Solaris Technologies SARL,FR,FR,FR53917821806,FR53917821806,valid,ok_structure,indetermine,pending_vies,,,,True,
105,Solaris Logistics SAS,BE,BE,BE-0982344140,BE0982344140,valid,ok_structure,indetermine,pending_vies,,,,True,
106,Azur Foods BV,LU,LU,LU 9010 0861,LU90100861,valid,ok_structure,indetermine,pending_vies,,,,True,
107,Prima Logistics SAS,PT,PT,PT569236762,PT569236762,valid,ok_structure,indetermine,pending_vies,,,,True,
108,Vela Materials SpA,NL,NL,nl785427788b39,NL785427788B39,valid,ok_structure,indetermine,pending_vies,,,,True,
109,Papyrus Industries AB,FR,FR,FR65959957042,FR65959957042,valid,ok_structure,indetermine,pending_vies,,,,True,
110,Alpine Services GmbH,PT,PT,PT551278056,PT551278056,valid,ok_structure,indetermine,pending_vies,,,,True,
111,Delta Distribution AB,NL,NL,NL1587699M6B82,NL1587699M6B82,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
112,Batavia Services Lda,SE,SE,SE-128356938001,SE128356938001,valid,ok_structure,indetermine,pending_vies,,,,True,
113,Cobalt Distribution SpA,FI,FI,FI62150298,FI62150298,valid,ok_structure,indetermine,pending_vies,,,,True,
114,Granit Industries NV,IT,IT,IT 5368 0520532,IT53680520532,valid,ok_structure,indetermine,pending_vies,,,,True,
115,Metallo Consulting GmbH,BE,BE,BE 1593 163533,BE1593163533,valid,ok_structure,indetermine,pending_vies,,,,True,
116,Alpine Transports SpA,DK,DK,DK97604142,DK97604142,valid,ok_structure,indetermine,pending_vies,,,,True,
117,Lumen Transports Sp. z o.o.,LU,LU,LU 4449 8372,LU44498372,valid,ok_structure,indetermine,pending_vies,,,,True,
118,Solaris Trading NV,DK,DK,DK13449643,DK13449643,valid,ok_structure,indetermine,pending_vies,,,,True,
119,Verso Distribution A/S,SE,SE,SE980721039601,SE980721039601,valid,ok_structure,indetermine,pending_vies,,,,True,
120,Prima Technologies AB,FR,FR,58560322811,58560322811,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
121,Global Technologies SpA,FR,FR,FR34494103231,FR34494103231,valid,ok_structure,indetermine,pending_vies,,,,True,
122,Corvus Consulting A/S,NL,NL,nl378068659b27,NL378068659B27,valid,ok_structure,indetermine,pending_vies,,,,True,
123,Meridian Transports Sp. z o.o.,NL,NL,NL917547317B75,NL917547317B75,valid,ok_structure,indetermine,pending_vies,,,,True,
124,Lumen Technologies Oy,IT,IT,IT64902006515,IT64902006515,valid,ok_structure,indetermine,pending_vies,,,,True,
125,Fabrica Materials Oy,DK,DK,DK70196921,DK70196921,valid,ok_structure,indetermine,pending_vies,,,,True,
126,Verso Technologies A/S,PL,PL,PL7041416675,PL7041416675,valid,ok_structure,indetermine,pending_vies,,,,True,
127,Global Industries Sp. z o.o.,PT,PT,PT87482735J,PT87482735J,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
128,Prima Materials SARL,IT,IT,IT35478856822,IT35478856822,valid,ok_structure,indetermine,pending_vies,,,,True,
129,Lumen Materials NV,FI,FI,  FI76761092 ,FI76761092,valid,ok_structure,indetermine,pending_vies,,,,True,
130,Metallo Services SpA,FR,FR,FR568210454899,FR568210454899,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
131,Atlantic Materials Sp. z o.o.,BE,BE,BE0500730962,BE0500730962,valid,ok_structure,indetermine,pending_vies,,,,True,
132,Vertex Technologies SARL,PT,PT,  PT493659684 ,PT493659684,valid,ok_structure,indetermine,pending_vies,,,,True,
133,Global Materials SAS,FI,FI,FI30917645,FI30917645,valid,ok_structure,indetermine,pending_vies,,,,True,
134,Ardent Logistics SpA,DK,DK,DK1521898,DK1521898,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
135,Kappa Logistics Lda,NL,NL,396904956B68,396904956B68,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
136,Alpine Materials GmbH,DK,DK,DK5962G374,DK5962G374,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
137,Global Trading Lda,PT,PT,PT301044317,PT301044317,valid,ok_structure,indetermine,pending_vies,,,,True,
138,Lumen Transports BV,PL,PL,PL.5102708610,PL5102708610,valid,ok_structure,indetermine,pending_vies,,,,True,
139,Hanse Materials Lda,DK,DK,DK291446999,DK291446999,review,format_invalide,indetermine,structural_reject,,,True,False,Numéro nettoyé non conforme au format attendu pour le pays
140,Atlantic Industries NV,LU,LU,LU12761174,LU12761174,valid,ok_structure,indetermine,pending_vies,,,,True,
141,Papyrus Logistics Sp. z o.o.,DK,DK,DK77510710,DK77510710,valid,ok_structure,indetermine,pending_vies,,,,True,
142,Papyrus Distribution Sp. z o.o.,LU,LU,LU50491841,LU50491841,valid,ok_structure,indetermine,pending_vies,,,,True,
143,Kappa Services A/S,NL,NL,NL027373964B85,NL027373964B85,valid,ok_structure,indetermine,pending_vies,,,,True,
144,Meridian Technologies BV,FI,FI,FI 4006 8050,FI40068050,valid,ok_structure,indetermine,pending_vies,,,,True,
145,Meridian Trading Oy,FI,FI,FI76910697,FI76910697,valid,ok_structure,indetermine,pending_vies,,,,True,
146,Nord Materials Oy,UK,UK,UK190500864B18,UK190500864B18,review,pays_hors_perimetre_vies,indetermine,structural_reject,,,True,False,Pays présent dans le fichier mais hors Union européenne
147,Lumen Consulting SAS,FR,FR,FR88920415533,FR88920415533,valid,ok_structure,indetermine,pending_vies,,,,True,
148,Alpine Materials Oy,IT,IT,it75599126341,IT75599126341,valid,ok_structure,indetermine,pending_vies,,,,True,
149,Metallo Distribution Lda,NL,NL,NL134317312B81,NL134317312B81,valid,ok_structure,indetermine,pending_vies,,,,True,
150,Cobalt Foods SpA,FR,FR,FR96778772967,FR96778772967,valid,ok_structure,indetermine,pending_vies,,,,True,
151,Metallo Transports Sp. z o.o.,PT,PT,PT653055021,PT653055021,valid,ok_structure,indetermine,pending_vies,,,,True,
