Rapport vérification VIES phase 2
Candidats sélectionnés: 437
Vérifications traitées: 437
Valides: 5
Invalides: 430
Indéterminés: 2

Journal:
Début campagne VIES
Batch 1: 100 candidat(s) chargé(s), sauvegarde en base après chaque résultat.
1 BE0398945063: invalide (147 ms)
2 SE791766199801: invalide (733 ms)
3 FR53988093780: invalide (119 ms)
4 IT51752952245: invalide (78 ms)
5 FR93888422543: invalide (101 ms)
6 BE0716324214: invalide (215 ms)
7 BE1767978890: invalide (93 ms)
8 FI62154930: invalide (94 ms)
9 DK22147005: invalide (8894 ms)
10 LU73653358: invalide (99 ms)
11 PT607048140: invalide (347 ms)
12 LU84824171: invalide (88 ms)
13 NL798292684B50: invalide (223 ms)
14 PT154853054: invalide (226 ms)
15 NL855743724B57: invalide (324 ms)
16 BE1103503771: invalide (139 ms)
17 FI65627742: invalide (108 ms)
18 PL2153086140: invalide (251 ms)
19 FR37639727295: invalide (92 ms)
20 BE0907723228: invalide (118 ms)
21 FI35425078: invalide (103 ms)
22 NL543981691B83: invalide (247 ms)
23 PT299986284: invalide (138 ms)
24 DK10061164: invalide (8472 ms)
25 DK56033378: invalide (8957 ms)
26 SE463792797301: invalide (335 ms)
27 IT26343473471: invalide (93 ms)
28 SE175305943301: invalide (396 ms)
29 SE990176292301: invalide (638 ms)
30 BE0993877737: invalide (416 ms)
31 NL663988378B40: invalide (995 ms)
32 PL1037030104: invalide (1017 ms)
33 NL720051067B49: invalide (1007 ms)
34 FR08555610502: invalide (250 ms)
35 PT821562649: invalide (1621 ms)
36 FI78319417: invalide (981 ms)
37 IT28887652510: invalide (1406 ms)
38 NL484900377B26: invalide (206 ms)
39 SE390103958001: invalide (348 ms)
40 FR40627899310: invalide (108 ms)
41 NL527968882B27: invalide (263 ms)
42 LU17577387: invalide (97 ms)
43 BE0211456337: invalide (161 ms)
44 SE853400431501: invalide (356 ms)
45 LU55460748: invalide (122 ms)
46 LU40277823: invalide (83 ms)
47 FI20707577: invalide (697 ms)
48 SE535620587101: invalide (382 ms)
49 NL604014661B61: invalide (662 ms)
50 IT94138062719: invalide (72 ms)
51 BE0406620535: invalide (124 ms)
52 FR19435518136: invalide (126 ms)
53 PL8834858463: invalide (214 ms)
54 IT17178672980: invalide (73 ms)
55 FI97126186: invalide (610 ms)
56 PT346701708: invalide (150 ms)
57 BE1873091774: invalide (135 ms)
58 IT42299752917: invalide (78 ms)
59 PT355152694: invalide (74 ms)
60 PT728725436: invalide (128 ms)
61 FR63276565350: invalide (319 ms)
62 DK38751811: invalide (100 ms)
63 FI06381154: invalide (74 ms)
64 IT01839832217: invalide (346 ms)
65 BE1223337274: invalide (119 ms)
66 LU65144554: invalide (108 ms)
67 SE610969226601: invalide (328 ms)
68 DK40331557: invalide (7638 ms)
69 FR20298387846: invalide (126 ms)
70 PL1438832246: invalide (187 ms)
71 NL195742625B60: invalide (85 ms)
72 SE452214954001: invalide (101 ms)
73 NL059906960B72: invalide (645 ms)
74 DK32759866: invalide (9679 ms)
75 NL549667313B28: invalide (378 ms)
76 NL542019966B45: invalide (371 ms)
77 LU40482452: invalide (105 ms)
78 FR95316491951: invalide (98 ms)
79 PT613000340: invalide (152 ms)
80 BE1892208593: invalide (138 ms)
81 PT258772425: invalide (157 ms)
82 IT77560437199: invalide (105 ms)
83 PT951575465: invalide (193 ms)
84 FI16844152: invalide (272 ms)
85 LU55755741: invalide (74 ms)
86 BE0698255104: invalide (74 ms)
87 LU97076982: invalide (73 ms)
88 BE0634782846: invalide (140 ms)
89 PL9136525534: invalide (165 ms)
90 IT04356511271: invalide (77 ms)
91 SE616824424901: invalide (372 ms)
92 NL492536296B84: invalide (569 ms)
93 SE966834425301: invalide (829 ms)
94 PT798886921: invalide (92 ms)
95 PT210109427: invalide (74 ms)
96 PL2593740595: invalide (200 ms)
97 BE1345506596: invalide (136 ms)
98 NL669231782B33: invalide (241 ms)
99 FR40102788252: invalide (72 ms)
100 BE0205796089: invalide (139 ms)
Batch 2: 100 candidat(s) chargé(s), sauvegarde en base après chaque résultat.
101 FR54725029424: invalide (147 ms)
102 SE839217031501: invalide (578 ms)
103 FR02723772610: invalide (93 ms)
104 PL2213582585: invalide (90 ms)
105 LU25421531: invalide (105 ms)
106 FI28417203: valide (325 ms)
107 LU85796424: invalide (87 ms)
108 FI76940912: invalide (327 ms)
109 PT794563635: invalide (149 ms)
110 IT58466112430: invalide (72 ms)
111 DK75507720: invalide (8022 ms)
112 LU25390274: invalide (105 ms)
113 PL3605374689: invalide (197 ms)
114 BE1996114894: invalide (134 ms)
115 FI13256275: invalide (319 ms)
116 FR45957778554: invalide (97 ms)
117 LU11786832: invalide (98 ms)
118 BE1967510287: invalide (112 ms)
119 FI99465915: invalide (308 ms)
120 BE0417035383: invalide (79 ms)
121 PL2025736804: invalide (185 ms)
122 DK01383604: invalide (73 ms)
123 LU38839083: invalide (103 ms)
124 PL3551278661: invalide (204 ms)
125 IT37616586642: invalide (74 ms)
126 LU11712388: invalide (114 ms)
127 PT957490402: invalide (135 ms)
128 SE082387119901: invalide (353 ms)
129 LU23159113: invalide (88 ms)
130 FI62207779: invalide (351 ms)
131 FR93323802711: invalide (127 ms)
132 FI42482714: invalide (284 ms)
133 BE1607528243: invalide (153 ms)
134 SE754494250601: invalide (323 ms)
135 FR82204382386: invalide (226 ms)
136 NL973007928B84: invalide (200 ms)
137 LU87024545: invalide (98 ms)
138 SE019796158401: invalide (342 ms)
139 FI42273306: invalide (323 ms)
140 PT217009549: invalide (143 ms)
141 IT07551207819: invalide (105 ms)
142 LU68965987: invalide (119 ms)
143 SE799328492201: invalide (75 ms)
144 FR16958344934: invalide (108 ms)
145 LU31183164: invalide (107 ms)
146 FR09154670713: invalide (81 ms)
147 SE565334702001: invalide (335 ms)
148 BE1356723558: invalide (137 ms)
149 PL7112899604: invalide (91 ms)
150 BE1145696593: invalide (131 ms)
151 FR65525841318: invalide (101 ms)
152 BE1730319058: invalide (142 ms)
153 BE1951926644: invalide (158 ms)
154 DK84824833: invalide (81 ms)
155 BE1989171476: invalide (141 ms)
156 DK38305328: valide (8460 ms)
157 SE122670151201: invalide (427 ms)
158 PT799549002: invalide (131 ms)
159 NL723299845B15: invalide (379 ms)
160 PL1898924818: invalide (100 ms)
161 IT03830193839: invalide (97 ms)
162 DK27962262: invalide (5207 ms)
163 BE0678796595: invalide (185 ms)
164 PT713568801: invalide (148 ms)
165 BE1559287806: invalide (93 ms)
166 DK81532479: invalide (97 ms)
167 BE1924195433: invalide (189 ms)
168 FI59519069: invalide (278 ms)
169 IT20829803527: invalide (106 ms)
170 FR62273807090: invalide (101 ms)
171 IT55011047531: invalide (72 ms)
172 FR3K437737047: invalide (82 ms)
173 BE0979513621: invalide (482 ms)
174 DK62517158: invalide (7455 ms)
175 SE721035578501: invalide (343 ms)
176 NL229841338B77: invalide (287 ms)
177 LU60637013: invalide (101 ms)
178 PL3886374875: invalide (209 ms)
179 PT694007536: invalide (157 ms)
180 DK25395417: valide (7563 ms)
181 FR79705170035: invalide (423 ms)
182 DK56463615: indetermine (4065 ms)
183 NL997912716B50: invalide (235 ms)
184 NL661834517B55: invalide (390 ms)
185 FR89334300179: invalide (115 ms)
186 SE546899136201: invalide (92 ms)
187 FI03442402: invalide (298 ms)
188 DK95840051: invalide (6156 ms)
189 BE1860947572: invalide (144 ms)
190 SE537212037701: invalide (349 ms)
191 LU40956374: invalide (100 ms)
192 FR15115469965: invalide (122 ms)
193 FI67829649: invalide (1261 ms)
194 DK95757314: invalide (91 ms)
195 PL3053795606: invalide (99 ms)
196 PT452789464: invalide (72 ms)
197 LU14071203: invalide (93 ms)
198 DK20226196: invalide (4340 ms)
199 BE0010451826: invalide (73 ms)
200 PT345019652: invalide (191 ms)
Batch 3: 100 candidat(s) chargé(s), sauvegarde en base après chaque résultat.
201 PL2162242088: invalide (176 ms)
202 FR96887837613: invalide (76 ms)
203 NL344348015B83: invalide (317 ms)
204 PL2890074208: invalide (93 ms)
205 FR56550168818: invalide (100 ms)
206 FR56264045299: invalide (98 ms)
207 FR29127638070: invalide (125 ms)
208 FI81738823: invalide (504 ms)
209 LU15918450: invalide (76 ms)
210 NL232464939B51: invalide (80 ms)
211 SE853538529101: invalide (310 ms)
212 DK04344618: invalide (73 ms)
213 DK71261551: invalide (93 ms)
214 NL656421708B16: invalide (325 ms)
215 LU71255423: invalide (107 ms)
216 PL7175221441: invalide (213 ms)
217 LU72429210: invalide (123 ms)
218 PT301491887: invalide (156 ms)
219 SE660485739801: invalide (314 ms)
220 SE951443291401: invalide (539 ms)
221 BE1453372774: invalide (114 ms)
222 NL196728125B39: invalide (221 ms)
223 NL944221363B89: invalide (81 ms)
224 PT995437491: invalide (159 ms)
225 FR42120863756: invalide (92 ms)
226 PL8639061546: invalide (183 ms)
227 DK46023331: invalide (6210 ms)
228 PL6939582840: invalide (170 ms)
229 PT652492274: invalide (168 ms)
230 FR00185396096: invalide (292 ms)
231 IT15188969638: invalide (101 ms)
232 NL855942007B28: invalide (117 ms)
233 BE0583804594: invalide (298 ms)
234 DK92969363: invalide (6970 ms)
235 FI93283254: invalide (74 ms)
236 LU66171185: invalide (95 ms)
237 SE028168403501: invalide (316 ms)
238 FR66597985424: invalide (82 ms)
239 SE199947332301: invalide (379 ms)
240 SE367384967901: invalide (515 ms)
241 NL230754101B76: invalide (73 ms)
242 SE078072853101: invalide (361 ms)
243 SE687684303501: invalide (385 ms)
244 FR33560394130: invalide (99 ms)
245 PL7706776865: invalide (189 ms)
246 FR44885066067: invalide (124 ms)
247 IT43652324336: invalide (73 ms)
248 PL2116927881: invalide (358 ms)
249 DK47294355: invalide (8349 ms)
250 FI71294368: invalide (259 ms)
251 DK48263973: invalide (76 ms)
252 LU54329438: invalide (107 ms)
253 NL528569351B19: invalide (519 ms)
254 PT156178435: invalide (127 ms)
255 DK16571997: invalide (8261 ms)
256 PL8718302122: invalide (200 ms)
257 PT256349282: invalide (131 ms)
258 PL3487331746: invalide (195 ms)
259 PL9961783002: invalide (169 ms)
260 FR39430319945: invalide (88 ms)
261 FI34979683: valide (292 ms)
262 LU74586444: invalide (293 ms)
263 LU90684728: invalide (93 ms)
264 BE1241564960: invalide (111 ms)
265 FI99647735: invalide (378 ms)
266 DK01347357: invalide (74 ms)
267 IT33486567911: invalide (93 ms)
268 FI42660744: invalide (304 ms)
269 NL083479296B19: invalide (360 ms)
270 FI53498869: invalide (304 ms)
271 PT554407059: invalide (82 ms)
272 PL8579197896: invalide (193 ms)
273 NL849370474B09: invalide (329 ms)
274 FR88265051620: invalide (103 ms)
275 NL677922401B26: invalide (261 ms)
276 DK59433911: invalide (6760 ms)
277 SE823216311601: invalide (322 ms)
278 BE0333841138: invalide (128 ms)
279 IT59890923499: invalide (74 ms)
280 NL142010581B46: invalide (75 ms)
281 NL527623265B41: indetermine (4062 ms)
282 BE0353828482: invalide (150 ms)
283 SE400802539901: invalide (336 ms)
284 PL5291921746: invalide (188 ms)
285 BE0144567117: invalide (137 ms)
286 FI51472964: invalide (284 ms)
287 NL790436310B04: invalide (292 ms)
288 PT336741723: invalide (156 ms)
289 DK94467500: invalide (4725 ms)
290 BE0165843670: invalide (128 ms)
291 IT79471498292: invalide (77 ms)
292 PL5025281216: invalide (172 ms)
293 DK37899194: invalide (3551 ms)
294 FI73707847: invalide (91 ms)
295 PL5151959039: invalide (196 ms)
296 FI19270035: invalide (395 ms)
297 BE1158676084: invalide (139 ms)
298 FR52539202805: invalide (100 ms)
299 LU50542583: invalide (148 ms)
300 NL689364167B48: invalide (671 ms)
Batch 4: 100 candidat(s) chargé(s), sauvegarde en base après chaque résultat.
301 PT805024633: invalide (98 ms)
302 PT499208510: invalide (157 ms)
303 BE1831825621: invalide (101 ms)
304 LU68417330: invalide (87 ms)
305 SE370516718101: invalide (350 ms)
306 PT950240869: invalide (131 ms)
307 FR07633311899: invalide (127 ms)
308 PT834344041: invalide (128 ms)
309 FR36440645206: invalide (124 ms)
310 IT08737682826: invalide (92 ms)
311 PT744205492: invalide (160 ms)
312 FI79512024: invalide (337 ms)
313 FR95421197728: invalide (113 ms)
314 IT48342244349: invalide (75 ms)
315 PT542310023: invalide (190 ms)
316 NL019116986B52: invalide (490 ms)
317 PT603775934: invalide (154 ms)
318 FR45843365832: invalide (105 ms)
319 SE714946400501: invalide (2575 ms)
320 PL1441079534: invalide (204 ms)
321 LU86333535: invalide (299 ms)
322 DK48743722: invalide (3174 ms)
323 SE924747365201: invalide (97 ms)
324 NL570170218B34: invalide (73 ms)
325 IT81207819012: invalide (94 ms)
326 SE782749096701: invalide (358 ms)
327 NL360894392B72: invalide (429 ms)
328 FR42319432262: invalide (100 ms)
329 PT586599711: invalide (131 ms)
330 PL9746949729: invalide (230 ms)
331 SE427410134601: invalide (365 ms)
332 SE298873770201: invalide (330 ms)
333 SE513774062901: invalide (196 ms)
334 SE505333625041: invalide (617 ms)
335 FI26706984: invalide (567 ms)
336 BE1232211289: invalide (135 ms)
337 FR72329651222: invalide (109 ms)
338 PT819471259: invalide (133 ms)
339 DK91447894: invalide (2566 ms)
340 SE034167341601: invalide (310 ms)
341 FI45156375: invalide (324 ms)
342 LU99098054: invalide (99 ms)
343 SE917068500301: invalide (333 ms)
344 PT667112782: invalide (154 ms)
345 DK24688216: invalide (4155 ms)
346 FI53526444: invalide (583 ms)
347 FI47681165: invalide (285 ms)
348 FI16947688: invalide (298 ms)
349 PL9072504691: invalide (74 ms)
350 SE126511981601: invalide (444 ms)
351 BE4434171406: invalide (73 ms)
352 PT753984261: invalide (164 ms)
353 BE1805420022: invalide (121 ms)
354 SE149932227701: invalide (331 ms)
355 LU24138111: invalide (74 ms)
356 PT648346862: invalide (130 ms)
357 DK27389864: invalide (3252 ms)
